RangeDistance;RangeOrientation;CellState;Norte;Este;Sur;Oeste
0;0;False,False,False,False;-100;-100;-100;-100
0;0;True,False,False,False;0;-100;-100;-100
0;0;False,True,False,False;-100;0;-100;-100
0;0;True,True,False,False;-78,70589;-138,1991;-126,1129;-137,3431
0;0;False,False,True,False;-100;-100;0;-100
0;0;True,False,True,False;-138,7827;-125,7841;-49,8392;-100
0;0;False,True,True,False;-100;-127,1569;-52,20628;-100
0;0;True,True,True,False;-282,6768;-237,1467;-268,9359;-241,472
0;0;False,False,False,True;-100;-100;-100;0
0;0;True,False,False,True;-183,0084;-271,3388;-196,6295;-209,7083
0;0;False,True,False,True;-237,4853;-210,9481;-255,4206;-206,7807
0;0;True,True,False,True;-196,7047;-215,3429;-241,7296;-233,5484
0;0;False,False,True,True;-191,2491;-307,2334;-206,1907;-232,7362
0;0;True,False,True,True;-223,5051;-274,5662;-200,1532;-226,6252
0;0;False,True,True,True;-196,2;-231,2246;-217,7175;-245,8013
0;0;True,True,True,True;-203,3428;-241,0631;-208,2484;-262,7317
0;1;False,False,False,False;-100;-100;-100;-100
0;1;True,False,False,False;0;-100;-100;-100
0;1;False,True,False,False;-100;0;-100;-100
0;1;True,True,False,False;0;-38,2473;-118;-138,9037
0;1;False,False,True,False;-100;-100;0;-100
0;1;True,False,True,False;0;-100;0;-100
0;1;False,True,True,False;-100;0;0;-100
0;1;True,True,True,False;-238,5681;-167,8372;-223,3175;-316,8509
0;1;False,False,False,True;-100;-100;-100;0
0;1;True,False,False,True;-200,0279;-201,7321;-189,728;-206,6967
0;1;False,True,False,True;-240,3675;-176,1546;-210,9721;-180,2389
0;1;True,True,False,True;-208,3273;-210,4704;-200,5455;-227,9033
0;1;False,False,True,True;-187,2478;-258,5193;-179,0891;-221,6127
0;1;True,False,True,True;-211,3337;-198,9838;-187,1723;-198,8395
0;1;False,True,True,True;-258,873;-210,6381;-181,8981;-228,7571
0;1;True,True,True,True;-197,7424;-173,7915;-176,5464;-200,0983
0;2;False,False,False,False;-100;-100;-100;-100
0;2;True,False,False,False;0;-100;-100;-100
0;2;False,True,False,False;-100;0;-100;-100
0;2;True,True,False,False;-267,5872;-201,9336;-219,5573;-256,8381
0;2;False,False,True,False;-100;-100;0;-100
0;2;True,False,True,False;-150,4257;-199,8679;-123,5139;-174,9005
0;2;False,True,True,False;-100;0;0;-100
0;2;True,True,True,False;-235,5963;-190,6698;-207,969;-268,8297
0;2;False,False,False,True;-100;-100;-100;0
0;2;True,False,False,True;-231,9268;-235,9511;-222,6357;-256,4174
0;2;False,True,False,True;-223,2022;-228,3666;-238,8129;-225,8365
0;2;True,True,False,True;-224,0749;-208,2912;-255,2749;-252,4239
0;2;False,False,True,True;-255,9465;-237,6916;-238,0185;-291,2248
0;2;True,False,True,True;-272,2504;-265,9214;-251,1648;-188,895
0;2;False,True,True,True;-282,9055;-228,1715;-195,648;-279,3736
0;2;True,True,True,True;-246,2714;-179,9003;-210,5056;-197,1848
0;3;False,False,False,False;-100;-100;-100;-100
0;3;True,False,False,False;0;-100;-100;-100
0;3;False,True,False,False;-100;0;-100;-100
0;3;True,True,False,False;-182,4646;-209,4641;-193,8575;-186,8334
0;3;False,False,True,False;-100;-100;0;-100
0;3;True,False,True,False;-132,9619;-270,3281;-176,2267;-174,9005
0;3;False,True,True,False;-100;0;0;-100
0;3;True,True,True,False;-226,6127;-208,6587;-249,4146;-296,8791
0;3;False,False,False,True;-100;-100;-100;0
0;3;True,False,False,True;-278,0198;-213,348;-258,8687;-163,0492
0;3;False,True,False,True;-248,4737;-211,0669;-175,6326;-241,4401
0;3;True,True,False,True;-191,1819;-262,4079;-341,5817;-270,7437
0;3;False,False,True,True;-231,8171;-227,9514;-207,477;-232,0388
0;3;True,False,True,True;-223,2698;-351,678;-224,8179;-179,8405
0;3;False,True,True,True;-326,4551;-259,1207;-199,5146;-334,7433
0;3;True,True,True,True;-234,8368;-201,1939;-218,3391;-209,3543
0;4;False,False,False,False;-100;-100;-100;-100
0;4;True,False,False,False;0;-100;-100;-100
0;4;False,True,False,False;-100;0;-100;-100
0;4;True,True,False,False;-177,8326;-198,3086;-234,6239;-306,6316
0;4;False,False,True,False;-100;-100;0;-100
0;4;True,False,True,False;-123,3802;-147,4406;-41,71215;-100
0;4;False,True,True,False;-185,0522;-232,558;-192,5886;-180,3363
0;4;True,True,True,False;-269,7019;-209,7021;-249,7082;-251,2816
0;4;False,False,False,True;-100;-100;-100;0
0;4;True,False,False,True;-265,1797;-308,4358;-279,6397;-244,8228
0;4;False,True,False,True;-352,6315;-219,0571;-352,1287;-210,3268
0;4;True,True,False,True;-173,7748;-284,1884;-313,4554;-345,9075
0;4;False,False,True,True;-265,6771;-393,9896;-278,6611;-240,9078
0;4;True,False,True,True;-290,4353;-417,8126;-234,2354;-178,7583
0;4;False,True,True,True;-389,8824;-297,3335;-206,5556;-324,1883
0;4;True,True,True,True;-220,5816;-199,2776;-199,1531;-170,8266
0;5;False,False,False,False;-100;-100;-100;-100
0;5;True,False,False,False;0;-100;-100;-100
0;5;False,True,False,False;-100;0;-100;-100
0;5;True,True,False,False;-170,5026;-163,5046;-159,995;-243,8081
0;5;False,False,True,False;-100;-100;0;-100
0;5;True,False,True,False;-148,3408;-221,3121;-131,3849;-166,407
0;5;False,True,True,False;-186,0418;-201,2472;-199,0148;-182,2691
0;5;True,True,True,False;-258,8521;-190,5895;-240,239;-329,0871
0;5;False,False,False,True;-100;-100;-100;0
0;5;True,False,False,True;-235,8454;-237,8081;-191,9755;-251,7588
0;5;False,True,False,True;-329,2021;-157,3313;-269,0872;-210,4157
0;5;True,True,False,True;-180,6096;-212,5992;-307,3846;-249,5617
0;5;False,False,True,True;-251,6713;-213,8407;-249,0026;-194,3189
0;5;True,False,True,True;-303,3886;-325,1306;-235,3504;-181,5129
0;5;False,True,True,True;-257,2363;-225,1874;-171,7548;-257,1572
0;5;True,True,True,True;-196,9431;-195,4089;-197,7329;-188,0129
0;6;False,False,False,False;-100;-100;-100;-100
0;6;True,False,False,False;0;-100;-100;-100
0;6;False,True,False,False;-100;0;-100;-100
0;6;True,True,False,False;-160,5247;-142,4127;-134,7771;-132,4
0;6;False,False,True,False;-100;-100;0;-100
0;6;True,False,True,False;-144,852;-170,3098;-158,2394;-132,4
0;6;False,True,True,False;-177,9204;-168,0038;-255,5308;-185,0522
0;6;True,True,True,False;-279,4944;-186,2265;-274,2981;-312,6952
0;6;False,False,False,True;-100;-100;-100;0
0;6;True,False,False,True;-171,198;-200,5699;-184,0161;-221,1096
0;6;False,True,False,True;-100;-100,5496;-100;-122,1285
0;6;True,True,False,True;-188,2159;-229,2195;-281,2185;-215,9269
0;6;False,False,True,True;-216,349;-245,2697;-212,9725;-220,6346
0;6;True,False,True,True;-199,9625;-237,6526;-214,7642;-179,3442
0;6;False,True,True,True;-267,6672;-199,2781;-244,2062;-212,1954
0;6;True,True,True,True;-210,2394;-192,1873;-238,4951;-188,9996
0;7;False,False,False,False;-100;-100;-100;-100
0;7;True,False,False,False;0;-100;-100;-100
0;7;False,True,False,False;-100;0;-100;-100
0;7;True,True,False,False;-137,8743;-95,82814;-147,6329;-118
0;7;False,False,True,False;-100;-100;0;-100
0;7;True,False,True,False;0;-100;0;-100
0;7;False,True,True,False;-100;0;0;-100
0;7;True,True,True,False;-220,7644;-139,3456;-205,2152;-262,2499
0;7;False,False,False,True;-100;-100;-100;0
0;7;True,False,False,True;-90,8884;-136,043;-143,92;-116,4223
0;7;False,True,False,True;-189,6836;-113,0321;-200,2391;-92,26424
0;7;True,True,False,True;-177,5606;-191,9121;-223,5606;-188,5535
0;7;False,False,True,True;-218,924;-236,3596;-204,6427;-205,0377
0;7;True,False,True,True;-200,1196;-240,7832;-215,7593;-188,505
0;7;False,True,True,True;-211,6053;-193,0857;-211,2151;-194,1244
0;7;True,True,True,True;-176,3763;-176,6462;-219,7768;-198,2036
1;0;False,False,False,False;-100;-100;-100;-100
1;0;True,False,False,False;0;-100;-100;-100
1;0;False,True,False,False;-100;0;-100;-100
1;0;True,True,False,False;-175,7892;-133,1222;-153,136;-191,4045
1;0;False,False,True,False;-100;-100;0;-100
